Date : 2024-06-20 15:20:21
Directory : e:\MyProjects\IMeetE\UIPrototype\codes
Total : 118 files,  6414 codes, 1034 comments, 918 blanks, all 8366 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         30 |      2,999 |        675 |        466 |      4,140 |
| CSS        |         27 |      2,456 |        297 |        350 |      3,103 |
| WXML       |         26 |        730 |         62 |        100 |        892 |
| JSON       |         28 |        218 |          0 |          2 |        220 |
| XML        |          7 |         11 |          0 |          0 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
